url_domain,url,description
msnbc.com,https://www.msnbc.com/rachel-maddow-show/right-s-new-conspiracy-theory-blame-left-capitol-riot-n1253250,"msnbc.com The right's new conspiracy theory: blame left for Capitol riot The cognitive dissonance is bewildering: The rioters are simultaneously patriots who did the right thing and ""masquerading"" leftists to be condemned?"
nbcnews.com,https://www.nbcnews.com/tech/social-media/facebook-youtube-twitter-remove-video-trump-amid-chaos-capitol-n1253157,nbcnews.com Twitter locks President Trump's account; removes 3 tweets
cnn.com,https://www.cnn.com/politics/live-news/congress-electoral-college-vote-count-2021/h_47d7ee374435cc40a35a92cb450f3e25,Breaking 20 mins
cnn.com,https://www.cnn.com/politics/live-news/congress-electoral-college-vote-count-2021/index.html,
cnn.com,https://www.cnn.com/2021/01/07/politics/betsy-devos-donald-trump/index.html,"cnn.com Trump's Education Secretary Betsy DeVos submits resignation Education Secretary Betsy DeVos has submitted her resignation, making her the second Cabinet member to resign over President Donald Trump's response to the mob breaching the US Capitol on Wednesday, according to an official."
axios.com,https://www.axios.com/congress-certifies-biden-electoral-college-win-eeb6ba0a-0bc7-4508-ada7-9c1b93aca416.html,axios.com Congress certifies Joe Biden's Electoral College win It confirms his victory after a day that saw the Capitol sieged by a mob of Trump supporters.
bbc.com,https://www.bbc.com/news/world-us-canada-55568613,bbc.com World leaders react to 'horrifying' scenes in Washington
businessinsider.com,https://www.businessinsider.com/trump-attempted-coup-federal-law-enforcement-capitol-police-2021-1,businessinsider.com Some among America's military allies believe Trump deliberately attempted a coup and may have had help from federal law-enforcement officials The big unanswered question: Why were so few law-enforcement agents at the Capitol when demonstrations like that are usually heavily policed?
buzzfeednews.com,https://www.buzzfeednews.com/article/briannasacks/west-virginia-republican-delegate-storms-capitol,buzzfeednews.com A Republican West Virginia Legislator Took Part In The Attempted Coup At The Capitol
cbsnews.com,https://www.cbsnews.com/news/derrick-evans-west-virginia-us-capitol-video/,"cbsnews.com West Virginia lawmaker records himself storming the U.S. Capitol: ""We're in!"" Republican Derrick Evans is shown wearing a helmet and clamoring at the door of the Capitol to breach the building."
nbcnews.com,https://www.nbcnews.com/politics/politics-news/facing-calls-removal-trump-reverses-positions-election-loss-rioters-covid-n1253397,"nbcnews.com On tape & on script, Trump condemns violence and seems to concede Trump also signaled that there will be a smooth transition of power for the next administration a day after rioters stormed the Capitol."
nbcnews.com,https://www.nbcnews.com/news/us-news/man-foot-desk-pelosi-s-office-capitol-arrested-n1253490,nbcnews.com Man with foot up on desk in Pelosi's office at Capitol arrested Images apparently showing Richard Barnett of Arkansas in House Speaker Nancy Pelosi's office became emblematic of the mayhem that tore across the U.S. Capitol.
